Tarih,Magaza_ID,Urun_ID,Satis_Adedi,Stok_Miktari,Birim_Fiyat,Stokout_Flag,Ana_Kategori,Alt_Kategori,Marka_Grubu,Promosyon_Flag
2025-02-25,M01,U001,12,53,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-26,M01,U001,11,42,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-27,M01,U001,15,27,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-28,M01,U001,14,13,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-01,M01,U001,13,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-02,M01,U001,32,43,149.45,False,İçecek,Gazlı İçecek,Marka-A,True
2025-03-03,M01,U001,13,30,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-04,M01,U001,21,9,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-05,M01,U001,9,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-06,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-07,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-08,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-09,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-10,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-11,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-12,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-13,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-14,M01,U001,17,63,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-15,M01,U001,25,38,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-16,M01,U001,28,10,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-17,M01,U001,10,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-18,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-19,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-20,M01,U001,12,76,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-21,M01,U001,22,54,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-22,M01,U001,27,27,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-23,M01,U001,17,10,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-24,M01,U001,10,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-25,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-26,M01,U001,17,70,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-27,M01,U001,12,58,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-28,M01,U001,29,29,149.45,False,İçecek,Gazlı İçecek,Marka-A,True
2025-03-29,M01,U001,20,9,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-03-30,M01,U001,9,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-03-31,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-01,M01,U001,20,60,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-02,M01,U001,21,39,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-03,M01,U001,28,11,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-04,M01,U001,11,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-05,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-06,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-07,M01,U001,23,56,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-08,M01,U001,14,42,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-09,M01,U001,20,22,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-10,M01,U001,13,9,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-11,M01,U001,9,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-12,M01,U001,0,0,149.45,True,İçecek,Gazlı İçecek,Marka-A,True
2025-04-13,M01,U001,25,50,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-14,M01,U001,6,44,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-15,M01,U001,17,27,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-16,M01,U001,23,4,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-17,M01,U001,4,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-18,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-19,M01,U001,26,51,140.66,False,İçecek,Gazlı İçecek,Marka-A,True
2025-04-20,M01,U001,21,30,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-21,M01,U001,17,13,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-22,M01,U001,13,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-23,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-24,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-25,M01,U001,19,60,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-26,M01,U001,22,38,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-27,M01,U001,23,15,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-04-28,M01,U001,15,0,158.24,True,İçecek,Gazlı İçecek,Marka-A,True
2025-04-29,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-04-30,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-05-01,M01,U001,18,65,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-05-02,M01,U001,21,44,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-05-03,M01,U001,32,12,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-05-04,M01,U001,12,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-05-05,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-05-06,M01,U001,0,0,158.24,True,İçecek,Gazlı İçecek,Marka-A,True
2025-01-01,M01,U002,29,103,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-02,M01,U002,20,83,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-03,M01,U002,16,67,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-04,M01,U002,30,37,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-05,M01,U002,20,17,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-06,M01,U002,17,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-07,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-08,M01,U002,15,116,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-09,M01,U002,23,93,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-10,M01,U002,28,65,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-11,M01,U002,21,44,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-12,M01,U002,24,20,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-13,M01,U002,20,0,173.1,True,İçecek,Gazlı İçecek,Marka-B,True
2025-01-14,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-15,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-16,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-17,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-18,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-19,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-20,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-21,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-22,M01,U002,17,125,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-23,M01,U002,21,104,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-24,M01,U002,26,78,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-25,M01,U002,28,50,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-26,M01,U002,16,34,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-27,M01,U002,34,0,153.86,False,İçecek,Gazlı İçecek,Marka-B,True
2025-01-28,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-29,M01,U002,18,124,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-30,M01,U002,23,101,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-01-31,M01,U002,27,74,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-01,M01,U002,26,48,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-02,M01,U002,23,25,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-03,M01,U002,25,0,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-04,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-02-05,M01,U002,33,103,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-06,M01,U002,16,87,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-07,M01,U002,15,72,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-08,M01,U002,26,46,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-09,M01,U002,25,21,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-10,M01,U002,16,5,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-11,M01,U002,5,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-02-12,M01,U002,23,96,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-13,M01,U002,22,74,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-14,M01,U002,21,53,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-15,M01,U002,29,24,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-16,M01,U002,24,0,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-17,M01,U002,0,0,163.48,True,İçecek,Gazlı İçecek,Marka-B,True
2025-02-18,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-02-19,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-02-20,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-02-21,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-02-22,M01,U002,0,0,153.86,True,İçecek,Gazlı İçecek,Marka-B,True
2025-02-23,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-02-24,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-02-25,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-02-26,M01,U002,19,115,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-27,M01,U002,15,100,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-02-28,M01,U002,29,71,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-01,M01,U002,27,44,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-02,M01,U002,20,24,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-03,M01,U002,16,8,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-04,M01,U002,8,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-05,M01,U002,20,115,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-06,M01,U002,21,94,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-07,M01,U002,22,72,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-08,M01,U002,32,40,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-09,M01,U002,30,10,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-10,M01,U002,10,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-11,M01,U002,0,0,173.1,True,İçecek,Gazlı İçecek,Marka-B,True
2025-03-12,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-13,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-14,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-15,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-16,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-17,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-18,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-19,M01,U002,25,102,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-20,M01,U002,24,78,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-21,M01,U002,25,53,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-22,M01,U002,34,19,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-23,M01,U002,19,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-24,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-25,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-26,M01,U002,26,94,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-27,M01,U002,21,73,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-28,M01,U002,39,34,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-29,M01,U002,28,6,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-03-30,M01,U002,6,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-03-31,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-01,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-02,M01,U002,23,105,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-03,M01,U002,17,88,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-04,M01,U002,21,67,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-05,M01,U002,27,40,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-06,M01,U002,36,4,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-07,M01,U002,4,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-08,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-09,M01,U002,23,110,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-10,M01,U002,36,74,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-11,M01,U002,21,53,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-12,M01,U002,27,26,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-13,M01,U002,26,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-14,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-15,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-16,M01,U002,22,121,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-17,M01,U002,30,91,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-18,M01,U002,33,58,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-19,M01,U002,31,27,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-20,M01,U002,27,0,163.48,True,İçecek,Gazlı İçecek,Marka-B,True
2025-04-21,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-22,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-23,M01,U002,27,104,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-24,M01,U002,37,67,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-25,M01,U002,30,37,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-26,M01,U002,30,7,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-04-27,M01,U002,7,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-28,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-29,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-04-30,M01,U002,27,94,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-05-01,M01,U002,21,73,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-05-02,M01,U002,24,49,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-05-03,M01,U002,29,20,192.33,False,İçecek,Gazlı İçecek,Marka-B,False
2025-05-04,M01,U002,20,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-05-05,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-05-06,M01,U002,0,0,192.33,True,İçecek,Gazlı İçecek,Marka-B,False
2025-01-01,M01,U003,28,181,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-02,M01,U003,28,153,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-03,M01,U003,51,102,36.77,False,İçecek,Meyve Suyu,Marka-C,True
2025-01-04,M01,U003,42,60,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-05,M01,U003,38,161,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-06,M01,U003,17,144,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-07,M01,U003,17,127,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-08,M01,U003,49,78,34.61,False,İçecek,Meyve Suyu,Marka-C,True
2025-01-09,M01,U003,34,143,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-10,M01,U003,22,121,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-11,M01,U003,32,89,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-12,M01,U003,37,52,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-13,M01,U003,30,149,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-14,M01,U003,34,115,36.77,False,İçecek,Meyve Suyu,Marka-C,True
2025-01-15,M01,U003,21,94,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-16,M01,U003,27,67,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-17,M01,U003,26,152,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-18,M01,U003,41,111,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-19,M01,U003,40,71,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-20,M01,U003,42,29,36.77,False,İçecek,Meyve Suyu,Marka-C,True
2025-01-21,M01,U003,32,168,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-22,M01,U003,24,144,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-23,M01,U003,30,114,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-24,M01,U003,60,54,34.61,False,İçecek,Meyve Suyu,Marka-C,True
2025-01-25,M01,U003,36,153,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-26,M01,U003,54,99,36.77,False,İçecek,Meyve Suyu,Marka-C,True
2025-01-27,M01,U003,21,78,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-28,M01,U003,26,52,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-29,M01,U003,26,157,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-30,M01,U003,25,132,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-01-31,M01,U003,23,109,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-01,M01,U003,39,70,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-02,M01,U003,20,182,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-03,M01,U003,38,144,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-04,M01,U003,27,117,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-05,M01,U003,27,90,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-06,M01,U003,24,159,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-07,M01,U003,34,125,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-08,M01,U003,36,89,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-09,M01,U003,45,44,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-10,M01,U003,26,167,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-11,M01,U003,25,142,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-12,M01,U003,21,121,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-13,M01,U003,28,93,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-14,M01,U003,34,147,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-15,M01,U003,75,72,34.61,False,İçecek,Meyve Suyu,Marka-C,True
2025-02-16,M01,U003,36,36,43.26,False,İçecek,Meyve Suyu,Marka-C,False
2025-02-17,M01,U003,36,0,38.93,True,İçecek,Meyve Suyu,Marka-C,True
2025-02-18,M01,U003,27,163,43.26,False,İçecek,Meyve Suyu,Marka-C,False
