Tarih,Magaza_ID,Urun_ID,Baslangic_Stoku,Planlanan_Sevkiyat,Birim_Fiyat,Promosyon_Flag,Bolge,Tedarik_Suresi_Gun,Beklenen_Giris_Tarihi,Dagitilabilir_Depo_Stogu,Magaza_Kapasitesi
2025-05-18,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-18,861,103.0
2025-05-19,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-19,861,243.0
2025-05-20,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-20,861,172.0
2025-05-07,M01,U003,0.0,0.0,43.26,False,Marmara,3,2025-05-07,777,206.0
2025-05-08,M01,U003,,0.0,43.26,False,Marmara,3,2025-05-08,777,274.0
2025-05-09,M01,U003,,199.0,43.26,False,Marmara,3,2025-05-11,777,162.0
2025-05-10,M01,U003,,0.0,43.26,False,Marmara,3,2025-05-10,777,234.0
2025-05-11,M01,U003,,0.0,43.26,False,Marmara,3,2025-05-11,777,325.0
2025-05-12,M01,U003,,0.0,43.26,False,Marmara,3,2025-05-12,777,386.0
2025-05-13,M01,U003,,125.0,43.26,False,Marmara,3,2025-05-14,777,175.0
2025-05-14,M01,U003,,0.0,43.26,False,Marmara,3,2025-05-14,777,340.0
2025-05-15,M01,U003,,0.0,38.93,True,Marmara,3,2025-05-15,777,212.0
2025-05-16,M01,U003,,0.0,43.26,False,Marmara,3,2025-05-16,777,299.0
2025-05-17,M01,U003,,177.0,43.26,False,Marmara,3,2025-05-19,777,363.0
2025-05-18,M01,U003,,0.0,43.26,False,Marmara,3,2025-05-18,777,248.0
2025-05-19,M01,U003,,0.0,43.26,False,Marmara,3,2025-05-19,777,388.0
2025-05-20,M01,U003,,0.0,43.26,False,Marmara,3,2025-05-20,777,221.0
2025-05-07,M01,U004,116.0,0.0,173.32,False,Marmara,4,2025-05-07,602,351.0
2025-05-08,M01,U004,,0.0,173.32,False,Marmara,4,2025-05-08,602,325.0
2025-05-09,M01,U004,,0.0,173.32,False,Marmara,4,2025-05-09,602,420.0
2025-05-10,M01,U004,,0.0,173.32,False,Marmara,4,2025-05-10,602,384.0
2025-05-11,M01,U004,,128.0,173.32,False,Marmara,4,2025-05-13,602,245.0
2025-05-12,M01,U004,,0.0,173.32,False,Marmara,4,2025-05-12,602,319.0
2025-05-13,M01,U004,,0.0,173.32,False,Marmara,4,2025-05-13,602,220.0
2025-05-14,M01,U004,,0.0,173.32,False,Marmara,4,2025-05-14,602,512.0
2025-05-15,M01,U004,,0.0,173.32,False,Marmara,4,2025-05-15,602,490.0
2025-05-16,M01,U004,,118.0,173.32,False,Marmara,4,2025-05-17,602,504.0
2025-05-17,M01,U004,,0.0,138.66,True,Marmara,4,2025-05-17,602,437.0
2025-05-18,M01,U004,,0.0,173.32,False,Marmara,4,2025-05-18,602,366.0
2025-05-19,M01,U004,,0.0,173.32,False,Marmara,4,2025-05-19,602,270.0
2025-05-20,M01,U004,,0.0,173.32,False,Marmara,4,2025-05-20,602,226.0
2025-05-07,M01,U005,0.0,98.0,49.88,False,Marmara,9,2025-05-09,667,178.0
2025-05-08,M01,U005,,0.0,49.88,False,Marmara,9,2025-05-08,667,240.0
2025-05-09,M01,U005,,0.0,42.4,True,Marmara,9,2025-05-09,667,153.0
2025-05-10,M01,U005,,0.0,49.88,False,Marmara,9,2025-05-10,667,229.0
2025-05-11,M01,U005,,0.0,49.88,False,Marmara,9,2025-05-11,667,170.0
2025-05-12,M01,U005,,0.0,49.88,False,Marmara,9,2025-05-12,667,160.0
2025-05-13,M01,U005,,95.0,49.88,False,Marmara,9,2025-05-14,667,346.0
2025-05-14,M01,U005,,0.0,49.88,False,Marmara,9,2025-05-14,667,381.0
2025-05-15,M01,U005,,0.0,49.88,False,Marmara,9,2025-05-15,667,399.0
2025-05-16,M01,U005,,0.0,42.4,True,Marmara,9,2025-05-16,667,181.0
2025-05-17,M01,U005,,0.0,49.88,False,Marmara,9,2025-05-17,667,278.0
2025-05-18,M01,U005,,0.0,49.88,False,Marmara,9,2025-05-18,667,382.0
2025-05-19,M01,U005,,88.0,49.88,False,Marmara,9,2025-05-20,667,217.0
2025-05-20,M01,U005,,0.0,49.88,False,Marmara,9,2025-05-20,667,320.0
2025-05-07,M01,U006,0.0,186.0,97.21,False,Marmara,6,2025-05-08,575,120.0
2025-05-08,M01,U006,,0.0,97.21,False,Marmara,6,2025-05-08,575,139.0
2025-05-09,M01,U006,,0.0,97.21,False,Marmara,6,2025-05-09,575,246.0
2025-05-10,M01,U006,,0.0,97.21,False,Marmara,6,2025-05-10,575,226.0
2025-05-11,M01,U006,,0.0,77.77,True,Marmara,6,2025-05-11,575,376.0
2025-05-12,M01,U006,,0.0,97.21,False,Marmara,6,2025-05-12,575,219.0
2025-05-13,M01,U006,,167.0,97.21,False,Marmara,6,2025-05-15,575,217.0
2025-05-14,M01,U006,,0.0,77.77,True,Marmara,6,2025-05-14,575,230.0
2025-05-15,M01,U006,,0.0,97.21,False,Marmara,6,2025-05-15,575,340.0
2025-05-16,M01,U006,,0.0,97.21,False,Marmara,6,2025-05-16,575,385.0
2025-05-17,M01,U006,,0.0,97.21,False,Marmara,6,2025-05-17,575,345.0
2025-05-18,M01,U006,,0.0,97.21,False,Marmara,6,2025-05-18,575,236.0
2025-05-19,M01,U006,,178.0,97.21,False,Marmara,6,2025-05-21,575,221.0
2025-05-20,M01,U006,,0.0,97.21,False,Marmara,6,2025-05-20,575,375.0
2025-05-07,M01,U007,0.0,0.0,150.45,False,Marmara,2,2025-05-07,159,341.0
2025-05-08,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-08,159,121.0
2025-05-09,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-09,159,122.0
2025-05-10,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-10,159,318.0
2025-05-11,M01,U007,,120.0,150.45,False,Marmara,2,2025-05-12,159,363.0
2025-05-12,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-12,159,180.0
2025-05-13,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-13,159,180.0
2025-05-14,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-14,159,356.0
2025-05-15,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-15,159,124.0
2025-05-16,M01,U007,,108.0,150.45,False,Marmara,2,2025-05-16,159,133.0
2025-05-17,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-17,159,295.0
2025-05-18,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-18,159,287.0
2025-05-19,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-19,159,256.0
2025-05-20,M01,U007,,0.0,150.45,False,Marmara,2,2025-05-20,159,356.0
2025-05-07,M01,U008,61.0,0.0,111.37,False,Marmara,5,2025-05-07,589,180.0
2025-05-08,M01,U008,,0.0,111.37,False,Marmara,5,2025-05-08,589,183.0
2025-05-09,M01,U008,,39.0,111.37,False,Marmara,5,2025-05-11,589,185.0
2025-05-10,M01,U008,,0.0,111.37,False,Marmara,5,2025-05-10,589,274.0
2025-05-11,M01,U008,,0.0,111.37,False,Marmara,5,2025-05-11,589,327.0
2025-05-12,M01,U008,,0.0,94.66,True,Marmara,5,2025-05-12,589,402.0
2025-05-13,M01,U008,,59.0,111.37,False,Marmara,5,2025-05-15,589,358.0
2025-05-14,M01,U008,,0.0,111.37,False,Marmara,5,2025-05-14,589,394.0
2025-05-15,M01,U008,,0.0,111.37,False,Marmara,5,2025-05-15,589,373.0
2025-05-16,M01,U008,,0.0,111.37,False,Marmara,5,2025-05-16,589,319.0
2025-05-17,M01,U008,,71.0,111.37,False,Marmara,5,2025-05-19,589,335.0
2025-05-18,M01,U008,,0.0,100.23,True,Marmara,5,2025-05-18,589,222.0
2025-05-19,M01,U008,,0.0,111.37,False,Marmara,5,2025-05-19,589,256.0
2025-05-20,M01,U008,,0.0,111.37,False,Marmara,5,2025-05-20,589,401.0
2025-05-07,M01,U009,31.0,0.0,106.43,True,Marmara,4,2025-05-07,594,288.0
2025-05-08,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-08,594,284.0
2025-05-09,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-09,594,249.0
2025-05-10,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-10,594,258.0
2025-05-11,M01,U009,,42.0,133.04,False,Marmara,4,2025-05-11,594,403.0
2025-05-12,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-12,594,322.0
2025-05-13,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-13,594,214.0
2025-05-14,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-14,594,337.0
2025-05-15,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-15,594,289.0
2025-05-16,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-16,594,328.0
2025-05-17,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-17,594,272.0
2025-05-18,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-18,594,200.0
2025-05-19,M01,U009,,0.0,133.04,False,Marmara,4,2025-05-19,594,281.0
2025-05-20,M01,U009,,0.0,113.08,True,Marmara,4,2025-05-20,594,418.0
2025-05-07,M01,U010,0.0,121.0,186.29,False,Marmara,7,2025-05-09,492,350.0
2025-05-08,M01,U010,,0.0,186.29,False,Marmara,7,2025-05-08,492,258.0
2025-05-09,M01,U010,,0.0,186.29,False,Marmara,7,2025-05-09,492,326.0
2025-05-10,M01,U010,,0.0,186.29,False,Marmara,7,2025-05-10,492,167.0
2025-05-11,M01,U010,,0.0,186.29,False,Marmara,7,2025-05-11,492,136.0
2025-05-12,M01,U010,,0.0,186.29,False,Marmara,7,2025-05-12,492,317.0
2025-05-13,M01,U010,,0.0,158.35,True,Marmara,7,2025-05-13,492,294.0
2025-05-14,M01,U010,,120.0,167.66,True,Marmara,7,2025-05-15,492,173.0
2025-05-15,M01,U010,,0.0,186.29,False,Marmara,7,2025-05-15,492,249.0
2025-05-16,M01,U010,,0.0,186.29,False,Marmara,7,2025-05-16,492,351.0
2025-05-17,M01,U010,,0.0,158.35,True,Marmara,7,2025-05-17,492,286.0
2025-05-18,M01,U010,,0.0,186.29,False,Marmara,7,2025-05-18,492,117.0
2025-05-19,M01,U010,,0.0,186.29,False,Marmara,7,2025-05-19,492,380.0
2025-05-20,M01,U010,,0.0,186.29,False,Marmara,7,2025-05-20,492,311.0
2025-05-07,M01,U011,0.0,91.0,172.73,False,Marmara,9,2025-05-07,753,385.0
2025-05-08,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-08,753,150.0
2025-05-09,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-09,753,193.0
2025-05-10,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-10,753,204.0
2025-05-11,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-11,753,141.0
2025-05-12,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-12,753,239.0
2025-05-13,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-13,753,209.0
2025-05-14,M01,U011,,82.0,172.73,False,Marmara,9,2025-05-16,753,104.0
2025-05-15,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-15,753,336.0
2025-05-16,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-16,753,328.0
2025-05-17,M01,U011,,0.0,155.46,True,Marmara,9,2025-05-17,753,170.0
2025-05-18,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-18,753,381.0
2025-05-19,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-19,753,222.0
2025-05-20,M01,U011,,0.0,172.73,False,Marmara,9,2025-05-20,753,229.0
2025-05-07,M01,U012,0.0,161.0,214.19,False,Marmara,2,2025-05-07,601,363.0
2025-05-08,M01,U012,,0.0,192.77,True,Marmara,2,2025-05-08,601,304.0
2025-05-09,M01,U012,,0.0,214.19,False,Marmara,2,2025-05-09,601,361.0
2025-05-10,M01,U012,,0.0,214.19,False,Marmara,2,2025-05-10,601,286.0
2025-05-11,M01,U012,,0.0,214.19,False,Marmara,2,2025-05-11,601,294.0
2025-05-12,M01,U012,,0.0,214.19,False,Marmara,2,2025-05-12,601,393.0
2025-05-13,M01,U012,,174.0,214.19,False,Marmara,2,2025-05-13,601,360.0
2025-05-14,M01,U012,,0.0,214.19,False,Marmara,2,2025-05-14,601,226.0
2025-05-15,M01,U012,,0.0,214.19,False,Marmara,2,2025-05-15,601,274.0
2025-05-16,M01,U012,,0.0,214.19,False,Marmara,2,2025-05-16,601,279.0
2025-05-17,M01,U012,,0.0,214.19,False,Marmara,2,2025-05-17,601,307.0
2025-05-18,M01,U012,,0.0,214.19,False,Marmara,2,2025-05-18,601,302.0
2025-05-19,M01,U012,,186.0,214.19,False,Marmara,2,2025-05-20,601,311.0
2025-05-20,M01,U012,,0.0,214.19,False,Marmara,2,2025-05-20,601,196.0
2025-05-07,M01,U013,0.0,0.0,176.68,False,Marmara,6,2025-05-07,350,351.0
2025-05-08,M01,U013,,0.0,176.68,False,Marmara,6,2025-05-08,350,276.0
2025-05-09,M01,U013,,0.0,176.68,False,Marmara,6,2025-05-09,350,284.0
2025-05-10,M01,U013,,0.0,176.68,False,Marmara,6,2025-05-10,350,184.0
2025-05-11,M01,U013,,0.0,176.68,False,Marmara,6,2025-05-11,350,241.0
2025-05-12,M01,U013,,0.0,176.68,False,Marmara,6,2025-05-12,350,345.0
2025-05-13,M01,U013,,78.0,176.68,False,Marmara,6,2025-05-15,350,149.0
2025-05-14,M01,U013,,0.0,176.68,False,Marmara,6,2025-05-14,350,214.0
2025-05-15,M01,U013,,0.0,176.68,False,Marmara,6,2025-05-15,350,128.0
2025-05-16,M01,U013,,0.0,176.68,False,Marmara,6,2025-05-16,350,384.0
2025-05-17,M01,U013,,51.0,176.68,False,Marmara,6,2025-05-19,350,239.0
2025-05-18,M01,U013,,0.0,176.68,False,Marmara,6,2025-05-18,350,102.0
2025-05-19,M01,U013,,0.0,159.01,True,Marmara,6,2025-05-19,350,211.0
2025-05-20,M01,U013,,0.0,159.01,True,Marmara,6,2025-05-20,350,280.0
2025-05-07,M01,U014,0.0,43.0,115.91,False,Marmara,6,2025-05-07,528,327.0
2025-05-08,M01,U014,,0.0,115.91,False,Marmara,6,2025-05-08,528,272.0
2025-05-09,M01,U014,,0.0,115.91,False,Marmara,6,2025-05-09,528,283.0
2025-05-10,M01,U014,,0.0,115.91,False,Marmara,6,2025-05-10,528,335.0
2025-05-11,M01,U014,,0.0,115.91,False,Marmara,6,2025-05-11,528,118.0
2025-05-12,M01,U014,,0.0,115.91,False,Marmara,6,2025-05-12,528,151.0
2025-05-13,M01,U014,,37.0,115.91,False,Marmara,6,2025-05-15,528,293.0
2025-05-14,M01,U014,,0.0,115.91,False,Marmara,6,2025-05-14,528,324.0
2025-05-15,M01,U014,,0.0,115.91,False,Marmara,6,2025-05-15,528,169.0
2025-05-16,M01,U014,,0.0,115.91,False,Marmara,6,2025-05-16,528,104.0
2025-05-17,M01,U014,,0.0,104.32,True,Marmara,6,2025-05-17,528,335.0
2025-05-18,M01,U014,,0.0,104.32,True,Marmara,6,2025-05-18,528,284.0
2025-05-19,M01,U014,,41.0,115.91,False,Marmara,6,2025-05-21,528,188.0
2025-05-20,M01,U014,,0.0,115.91,False,Marmara,6,2025-05-20,528,329.0
2025-05-07,M01,U015,118.0,0.0,43.99,True,Marmara,10,2025-05-07,175,366.0
2025-05-08,M01,U015,,0.0,54.99,False,Marmara,10,2025-05-08,175,243.0
2025-05-09,M01,U015,,0.0,54.99,False,Marmara,10,2025-05-09,175,459.0
2025-05-10,M01,U015,,0.0,54.99,False,Marmara,10,2025-05-10,175,309.0
2025-05-11,M01,U015,,134.0,54.99,False,Marmara,10,2025-05-12,175,308.0
2025-05-12,M01,U015,,0.0,49.49,True,Marmara,10,2025-05-12,175,498.0
2025-05-13,M01,U015,,0.0,54.99,False,Marmara,10,2025-05-13,175,475.0
2025-05-14,M01,U015,,0.0,54.99,False,Marmara,10,2025-05-14,175,462.0
2025-05-15,M01,U015,,0.0,54.99,False,Marmara,10,2025-05-15,175,323.0
2025-05-16,M01,U015,,134.0,54.99,False,Marmara,10,2025-05-18,175,442.0
2025-05-17,M01,U015,,0.0,54.99,False,Marmara,10,2025-05-17,175,358.0
2025-05-18,M01,U015,,0.0,54.99,False,Marmara,10,2025-05-18,175,512.0
2025-05-19,M01,U015,,0.0,54.99,False,Marmara,10,2025-05-19,175,452.0
2025-05-20,M01,U015,,0.0,54.99,False,Marmara,10,2025-05-20,175,296.0
2025-05-07,M01,U016,130.0,0.0,170.13,False,Marmara,5,2025-05-07,205,514.0
2025-05-08,M01,U016,,0.0,170.13,False,Marmara,5,2025-05-08,205,347.0
2025-05-09,M01,U016,,0.0,170.13,False,Marmara,5,2025-05-09,205,343.0
2025-05-10,M01,U016,,0.0,170.13,False,Marmara,5,2025-05-10,205,252.0
2025-05-11,M01,U016,,175.0,153.12,True,Marmara,5,2025-05-12,205,489.0
2025-05-12,M01,U016,,0.0,144.61,True,Marmara,5,2025-05-12,205,233.0
2025-05-13,M01,U016,,0.0,170.13,False,Marmara,5,2025-05-13,205,349.0
2025-05-14,M01,U016,,0.0,170.13,False,Marmara,5,2025-05-14,205,461.0
2025-05-15,M01,U016,,0.0,153.12,True,Marmara,5,2025-05-15,205,448.0
2025-05-16,M01,U016,,191.0,170.13,False,Marmara,5,2025-05-17,205,334.0
2025-05-17,M01,U016,,0.0,170.13,False,Marmara,5,2025-05-17,205,432.0
2025-05-18,M01,U016,,0.0,153.12,True,Marmara,5,2025-05-18,205,479.0
2025-05-19,M01,U016,,0.0,170.13,False,Marmara,5,2025-05-19,205,446.0
2025-05-20,M01,U016,,0.0,170.13,False,Marmara,5,2025-05-20,205,384.0
2025-05-07,M01,U017,0.0,96.0,88.44,False,Marmara,3,2025-05-09,619,278.0
2025-05-08,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-08,619,273.0
2025-05-09,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-09,619,168.0
2025-05-10,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-10,619,386.0
2025-05-11,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-11,619,346.0
2025-05-12,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-12,619,366.0
2025-05-13,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-13,619,262.0
2025-05-14,M01,U017,,96.0,88.44,False,Marmara,3,2025-05-15,619,293.0
2025-05-15,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-15,619,321.0
2025-05-16,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-16,619,375.0
2025-05-17,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-17,619,282.0
2025-05-18,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-18,619,357.0
2025-05-19,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-19,619,341.0
2025-05-20,M01,U017,,0.0,88.44,False,Marmara,3,2025-05-20,619,300.0
2025-05-07,M01,U018,0.0,60.0,116.46,False,Marmara,3,2025-05-08,424,122.0
2025-05-08,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-08,424,319.0
2025-05-09,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-09,424,145.0
2025-05-10,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-10,424,135.0
2025-05-11,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-11,424,224.0
2025-05-12,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-12,424,188.0
2025-05-13,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-13,424,362.0
2025-05-14,M01,U018,,57.0,116.46,False,Marmara,3,2025-05-16,424,361.0
2025-05-15,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-15,424,373.0
2025-05-16,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-16,424,344.0
2025-05-17,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-17,424,227.0
2025-05-18,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-18,424,125.0
2025-05-19,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-19,424,236.0
2025-05-20,M01,U018,,0.0,116.46,False,Marmara,3,2025-05-20,424,215.0
2025-05-07,M02,U001,0.0,0.0,149.45,True,Marmara,3,2025-05-07,168,187.0
2025-05-08,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-08,168,181.0
2025-05-09,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-09,168,334.0
2025-05-10,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-10,168,232.0
2025-05-11,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-11,168,363.0
2025-05-12,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-12,168,230.0
2025-05-13,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-13,168,102.0
2025-05-14,M02,U001,,119.0,175.82,False,Marmara,3,2025-05-15,168,199.0
2025-05-15,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-15,168,206.0
2025-05-16,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-16,168,142.0
2025-05-17,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-17,168,170.0
2025-05-18,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-18,168,174.0
2025-05-19,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-19,168,332.0
2025-05-20,M02,U001,,0.0,175.82,False,Marmara,3,2025-05-20,168,115.0
2025-05-07,M02,U002,0.0,137.0,192.33,False,Marmara,4,2025-05-09,861,134.0
2025-05-08,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-08,861,250.0
2025-05-09,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-09,861,286.0
2025-05-10,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-10,861,304.0
2025-05-11,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-11,861,394.0
2025-05-12,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-12,861,178.0
2025-05-13,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-13,861,296.0
2025-05-14,M02,U002,,132.0,192.33,False,Marmara,4,2025-05-15,861,164.0
2025-05-15,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-15,861,309.0
2025-05-16,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-16,861,306.0
2025-05-17,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-17,861,245.0
2025-05-18,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-18,861,266.0
2025-05-19,M02,U002,,0.0,192.33,False,Marmara,4,2025-05-19,861,280.0
2025-05-20,M02,U002,,0.0,173.1,True,Marmara,4,2025-05-20,861,115.0
2025-05-07,M02,U003,0.0,0.0,43.26,False,Marmara,3,2025-05-07,777,216.0
2025-05-08,M02,U003,,0.0,38.93,True,Marmara,3,2025-05-08,777,184.0
2025-05-09,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-09,777,357.0
2025-05-10,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-10,777,133.0
2025-05-11,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-11,777,179.0
2025-05-12,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-12,777,207.0
2025-05-13,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-13,777,166.0
2025-05-14,M02,U003,,216.0,43.26,False,Marmara,3,2025-05-14,777,281.0
2025-05-15,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-15,777,117.0
2025-05-16,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-16,777,270.0
2025-05-17,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-17,777,155.0
2025-05-18,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-18,777,264.0
2025-05-19,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-19,777,126.0
2025-05-20,M02,U003,,0.0,43.26,False,Marmara,3,2025-05-20,777,109.0
2025-05-07,M02,U004,68.0,0.0,173.32,False,Marmara,4,2025-05-07,602,192.0
2025-05-08,M02,U004,,0.0,173.32,False,Marmara,4,2025-05-08,602,216.0
2025-05-09,M02,U004,,140.0,173.32,False,Marmara,4,2025-05-10,602,258.0
2025-05-10,M02,U004,,0.0,173.32,False,Marmara,4,2025-05-10,602,273.0
2025-05-11,M02,U004,,0.0,173.32,False,Marmara,4,2025-05-11,602,180.0
2025-05-12,M02,U004,,0.0,173.32,False,Marmara,4,2025-05-12,602,293.0
2025-05-13,M02,U004,,130.0,173.32,False,Marmara,4,2025-05-13,602,355.0
2025-05-14,M02,U004,,0.0,173.32,False,Marmara,4,2025-05-14,602,302.0
2025-05-15,M02,U004,,0.0,173.32,False,Marmara,4,2025-05-15,602,187.0
2025-05-16,M02,U004,,0.0,173.32,False,Marmara,4,2025-05-16,602,390.0
2025-05-17,M02,U004,,132.0,173.32,False,Marmara,4,2025-05-19,602,432.0
2025-05-18,M02,U004,,0.0,173.32,False,Marmara,4,2025-05-18,602,452.0
2025-05-19,M02,U004,,0.0,173.32,False,Marmara,4,2025-05-19,602,208.0
2025-05-20,M02,U004,,0.0,173.32,False,Marmara,4,2025-05-20,602,397.0
2025-05-07,M02,U005,0.0,79.0,49.88,False,Marmara,9,2025-05-08,667,139.0
2025-05-08,M02,U005,,0.0,49.88,False,Marmara,9,2025-05-08,667,311.0
